,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
4883,Diesel,MUV,90000.0,Manual,3,Toyota Innova,2013.0,750000.0,12.99,1949.5,8.0,Hyderabad
4884,Petrol,Hatchback,104436.0,Automatic,2,Hyundai Grand i10,2016.0,496000.0,18.9,1197.0,5.0,Hyderabad
4885,Petrol,Hatchback,28545.0,Manual,1,Datsun RediGO,2017.0,298000.0,22.7,799.0,5.0,Hyderabad
4886,Petrol,Hatchback,66500.0,Manual,1,Volkswagen Polo,2019.0,720000.0,18.78,999.0,5.0,Hyderabad
4887,Petrol,Hatchback,80133.0,Manual,1,Hyundai i20,2017.0,583000.0,18.6,1197.0,5.0,Hyderabad
4888,Diesel,Sedan,106000.0,Automatic,1,Mercedes-Benz C-Class,2011.0,1125000.0,14.84,1949.5,5.0,Hyderabad
4889,Petrol,SUV,26852.0,Manual,1,Maruti SX4 S Cross,2020.0,982000.0,18.55,1462.0,5.0,Hyderabad
4890,Petrol,Hatchback,59990.0,Manual,1,Maruti Swift,2015.0,458000.0,22.38,1197.0,5.0,Hyderabad
4891,Diesel,SUV,110000.0,Manual,2,Mahindra XUV500,2015.0,950000.0,16.0,1949.5,7.0,Hyderabad
4892,Diesel,Sedan,75135.0,Manual,1,Honda City,2018.0,852999.9999999999,25.6,1498.0,5.0,Hyderabad
4893,Petrol,Hatchback,50000.0,Manual,2,Hyundai Grand i10,2019.0,600000.0,18.9,1197.0,5.0,Hyderabad
4894,Petrol,Sedan,73000.0,Manual,1,Honda Civic,2010.0,390000.0,13.5,1799.0,5.0,Hyderabad
4895,Petrol,Hatchback,70000.0,Manual,2,Maruti Baleno,2018.0,620000.0,21.4,1197.0,5.0,Hyderabad
4896,Diesel,SUV,120000.0,Manual,1,Mahindra Scorpio,2006.5,400000.0,12.7,1949.5,8.0,Hyderabad
4897,Diesel,SUV,20000.0,Manual,1,Tata New Safari,2021.0,1776500.0,16.14,1949.5,7.0,Hyderabad
