,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
0,Petrol,SUV,20000.0,Automatic,1,Kia Sonet,2022.0,1150000.0,18.9,998.0,5.0,Chennai
1,Petrol,Minivans,20687.0,Manual,1,Maruti Eeco,2015.0,415000.00000000006,15.37,1196.0,7.0,Chennai
2,Petrol,SUV,30000.0,Manual,1,Nissan Magnite,2021.0,750000.0,20.0,999.0,5.0,Chennai
3,Petrol,Hatchback,59247.0,Manual,1,Hyundai i10,2015.0,398000.0,19.81,1086.0,5.0,Chennai
4,Petrol,Hatchback,50000.0,Manual,1,Honda Jazz,2015.0,550000.0,18.7,1199.0,5.0,Chennai
5,Diesel,Sedan,20000.0,Automatic,1,Mercedes-Benz E-Class,2016.0,1776500.0,13.0,1949.5,5.0,Chennai
6,Petrol,Hatchback,29403.0,Automatic,1,Maruti Celerio,2016.0,453000.0,23.1,998.0,5.0,Chennai
7,Petrol,Hatchback,42700.0,Manual,1,Maruti A-Star,2010.0,285000.0,19.0,998.0,5.0,Chennai
8,Diesel,SUV,23001.0,Automatic,1,BMW X3,2018.0,1776500.0,16.55,1949.5,5.0,Chennai
9,Petrol,SUV,25925.0,Automatic,2,Ford Ecosport,2018.0,821000.0000000001,14.8,1497.0,5.0,Chennai
10,Petrol,Hatchback,20000.0,Manual,1,Hyundai i20,2021.0,865000.0,21.0,1197.0,5.0,Chennai
11,Petrol,Hatchback,17711.0,Automatic,1,Honda Jazz,2019.0,792000.0,18.2,1199.0,5.0,Chennai
12,Diesel,Sedan,50000.0,Automatic,1,BMW 3 Series,2020.0,1776500.0,20.37,1949.5,5.0,Chennai
13,Petrol,Hatchback,50000.0,Manual,1,Maruti Swift,2018.0,610000.0,22.0,1197.0,5.0,Chennai
14,Petrol,Hatchback,51125.0,Manual,2,Hyundai Grand i10,2018.0,511000.00000000006,18.9,1197.0,5.0,Chennai
15,Diesel,SUV,69233.0,Manual,1,Tata Nexon,2019.0,710000.0,21.5,1497.0,5.0,Chennai
16,Diesel,SUV,65000.0,Manual,1,Jeep Compass,2017.0,1225000.0,17.1,1949.5,5.0,Chennai
17,Petrol,Sedan,93281.0,Manual,1,Honda City,2014.0,570000.0,17.4,1497.0,5.0,Chennai
18,Diesel,SUV,18000.0,Manual,1,Toyota Fortuner,2022.0,1776500.0,18.9,1949.5,7.0,Chennai
19,Petrol,Sedan,99225.0,Manual,2,Honda Amaze,2014.0,375000.0,18.0,1198.0,5.0,Chennai
20,Petrol,Hatchback,30000.0,Manual,1,Hyundai EON,2016.0,275000.0,20.3,998.0,5.0,Chennai
21,Petrol,Sedan,30602.0,Manual,1,Honda Amaze,2014.0,429000.0,18.0,1198.0,5.0,Chennai
22,Diesel,Hatchback,64500.0,Manual,1,Maruti Swift,2018.0,675000.0,25.2,1248.0,5.0,Chennai
23,Petrol,Sedan,46809.0,Manual,2,Honda City,2017.0,793000.0,17.8,1497.0,5.0,Chennai
24,Electric,SUV,20000.0,Automatic,1,Tata Nexon EV,2020.0,1100000.0,18.9,745.5,5.0,Chennai
25,Diesel,SUV,20000.0,Automatic,1,Hyundai Creta,2019.0,1425000.0,17.01,1582.0,5.0,Chennai
26,Petrol,SUV,21725.0,Automatic,1,Hyundai Venue,2020.0,1036000.0,18.15,998.0,5.0,Chennai
27,Petrol,Sedan,80000.0,Manual,1,Honda City,2016.0,800000.0,17.8,1497.0,5.0,Chennai
28,Petrol,Sedan,88000.0,Automatic,2,Audi A6,2013.0,1400000.0,13.53,1949.5,5.0,Chennai
29,Petrol,Sedan,30360.0,Automatic,2,Honda City,2019.0,1088000.0,17.4,1497.0,5.0,Chennai
30,Petrol,Hatchback,70000.0,Automatic,2,Maruti Baleno,2017.0,590000.0,21.4,1197.0,5.0,Chennai
31,Petrol,Hatchback,16246.0,Manual,1,Hyundai Grand i10,2016.0,568000.0,18.9,1197.0,5.0,Chennai
32,Petrol,Hatchback,55000.0,Automatic,2,Maruti Celerio,2017.0,400000.0,23.1,998.0,5.0,Chennai
33,Petrol,MUV,13000.0,Automatic,1,Toyota Innova Crysta,2022.0,1776500.0,10.425000000000006,1949.5,7.0,Chennai
34,Petrol,Hatchback,71638.0,Automatic,2,Maruti Celerio,2016.0,422000.0,23.1,998.0,5.0,Chennai
35,Petrol,Sedan,46105.0,Manual,1,Honda Amaze,2015.0,450000.0,18.0,1198.0,5.0,Chennai
36,Petrol,SUV,60000.0,Manual,1,Honda WR-V,2017.0,650000.0,17.5,1199.0,5.0,Chennai
37,Diesel,Hatchback,80000.0,Manual,1,Honda Jazz,2017.0,575000.0,27.3,1498.0,5.0,Chennai
38,Diesel,Hatchback,58000.0,Automatic,1,Mercedes-Benz B Class,2015.0,1776500.0,15.0,1949.5,5.0,Chennai
39,Petrol,Sedan,70000.0,Manual,2,Maruti Esteem,2008.0,150000.0,15.9,1298.0,5.0,Chennai
40,Petrol,Hatchback,61764.0,Automatic,1,Maruti Baleno,2017.0,702000.0,21.4,1197.0,5.0,Chennai
41,Petrol,SUV,36018.0,Manual,2,Mahindra KUV 100,2016.0,448000.00000000006,18.15,1198.0,6.0,Chennai
42,Diesel,SUV,150000.0,Automatic,1,Renault Duster,2016.0,650000.0,19.6,1461.0,5.0,Chennai
43,Petrol,Hatchback,17197.0,Manual,1,Hyundai Grand i10 Nios,2022.0,801000.0,20.7,998.0,5.0,Chennai
44,Petrol,Sedan,62931.0,Automatic,2,Honda City,2016.0,772000.0,18.0,1497.0,5.0,Chennai
45,Petrol,Sedan,90000.0,Manual,2,Toyota Corolla Altis,2013.0,500000.0,14.53,1798.0,5.0,Chennai
46,Petrol,SUV,21023.0,Manual,1,Mahindra XUV300,2021.0,1103000.0,16.82,1197.0,5.0,Chennai
47,Diesel,Sedan,43000.0,Manual,1,Toyota Corolla Altis,2018.0,1490000.0,21.43,1364.0,5.0,Chennai
48,Diesel,Sedan,110505.0,Automatic,1,Maruti Swift Dzire,2017.0,627000.0,27.984999999999992,1248.0,5.0,Chennai
49,Petrol,Sedan,78892.0,Manual,1,Hyundai Verna,2018.0,835000.0,17.0,1591.0,5.0,Chennai
50,Diesel,Sedan,59000.0,Automatic,1,Audi A6,2015.0,1776500.0,18.53,1949.5,5.0,Chennai
51,Petrol,Sedan,90058.0,Manual,1,Chevrolet Sail,2014.0,350000.0,18.2,1199.0,5.0,Chennai
52,Diesel,SUV,69000.0,Automatic,1,Audi Q5,2015.0,1776500.0,13.22,1949.5,5.0,Chennai
53,Diesel,SUV,67000.0,Manual,1,Honda WR-V,2019.0,925000.0,25.5,1498.0,5.0,Chennai
54,Diesel,Sedan,80000.0,Manual,1,Maruti Ciaz,2017.0,850000.0,27.984999999999992,1248.0,5.0,Chennai
55,Diesel,Sedan,80000.0,Manual,1,Maruti Ciaz,2017.0,850000.0,27.984999999999992,1248.0,5.0,Chennai
56,Diesel,SUV,57000.0,Automatic,1,Audi Q7,2020.0,1776500.0,14.75,1949.5,7.0,Chennai
57,Diesel,MUV,155000.0,Manual,1,Toyota Innova Crysta,2018.0,1776500.0,13.68,1949.5,8.0,Chennai
58,Diesel,Sedan,155000.0,Automatic,1,Mercedes-Benz C-Class,2018.0,1776500.0,19.27,1949.5,5.0,Chennai
59,Diesel,Sedan,27000.0,Automatic,1,BMW 7 Series,2017.0,1776500.0,16.46,1949.5,5.0,Chennai
60,Petrol,SUV,38334.0,Manual,1,Tata Nexon,2018.0,707000.0,17.0,1198.0,5.0,Chennai
61,Petrol,Hatchback,36992.0,Manual,1,Volkswagen Polo,2019.0,680000.0,17.74,999.0,5.0,Chennai
62,Diesel,SUV,50000.0,Automatic,2,BMW X3,2016.0,1776500.0,16.55,1949.5,5.0,Chennai
63,Diesel,SUV,34596.0,Automatic,1,Tata New Safari,2021.0,1776500.0,14.08,1949.5,6.0,Chennai
64,Petrol,Hatchback,84564.0,Manual,1,Datsun GO,2019.0,401000.0,19.02,1198.0,5.0,Chennai
65,Diesel,Sedan,60001.0,Automatic,2,Mercedes-Benz E-Class,2013.0,1776500.0,13.0,1949.5,5.0,Chennai
66,Petrol,Hatchback,23462.0,Manual,1,Hyundai Santro,2018.0,505000.0,20.3,1086.0,5.0,Chennai
67,Petrol,SUV,13000.0,Automatic,1,Volkswagen Taigun,2022.0,1599000.0,18.41,999.0,5.0,Chennai
68,Diesel,Sedan,54658.0,Automatic,1,Honda Amaze,2019.0,830000.0000000001,23.8,1498.0,5.0,Chennai
69,Petrol,SUV,34164.0,Manual,1,Mahindra XUV300,2020.0,1036000.0,16.82,1197.0,5.0,Chennai
70,Petrol,SUV,10000.0,Manual,1,Kia Seltos,2022.0,1595000.0,16.8,1497.0,5.0,Chennai
71,Petrol,Hatchback,70000.0,Manual,3,Fiat Punto,2010.0,100000.0,14.6,1368.0,5.0,Chennai
72,Petrol,SUV,37000.0,Manual,1,Hyundai Venue,2020.0,825000.0,17.52,1197.0,5.0,Chennai
73,Diesel,SUV,20000.0,Automatic,1,Mahindra XUV700,2022.0,1776500.0,18.9,1949.5,7.0,Chennai
74,Petrol,Hatchback,53967.0,Manual,1,Maruti Baleno,2016.0,550000.0,21.4,1197.0,5.0,Chennai
75,Petrol,Hatchback,52700.0,Manual,1,Hyundai i10,2011.0,299000.0,20.36,1197.0,5.0,Chennai
76,Petrol,SUV,60000.0,Automatic,1,Tata Nexon,2018.0,750000.0,17.0,1198.0,5.0,Chennai
77,Petrol,Hatchback,53967.0,Manual,1,Maruti Baleno,2016.0,550000.0,21.4,1197.0,5.0,Chennai
78,Petrol,Sedan,99225.0,Manual,2,Honda Amaze,2014.0,375000.0,18.6,1199.0,5.0,Chennai
79,Petrol,Sedan,60000.0,Manual,2,Fiat Linea,2011.0,265000.0,16.0,1368.0,5.0,Chennai
80,Petrol,Hatchback,48220.0,Automatic,1,Honda Jazz,2020.0,808000.0,17.1,1199.0,5.0,Chennai
81,Petrol,Hatchback,72024.0,Manual,1,Honda Jazz,2016.0,542000.0,18.7,1199.0,5.0,Chennai
82,Petrol,Sedan,80000.0,Automatic,1,Honda Amaze,2016.0,529000.0,15.5,1198.0,5.0,Chennai
83,Petrol,Hatchback,78735.0,Manual,1,Volkswagen Polo,2017.0,684000.0,16.2,1199.0,5.0,Chennai
84,Diesel,SUV,72955.0,Manual,2,Ford Ecosport,2018.0,813000.0000000001,23.0,1498.0,5.0,Chennai
85,Petrol,Sedan,40000.0,Automatic,1,Maruti Ciaz,2015.0,650000.0,19.12,1373.0,5.0,Chennai
86,Petrol,SUV,14037.0,Manual,1,Jeep Compass,2021.0,1776500.0,14.3,1368.0,5.0,Chennai
87,Petrol,Hatchback,29000.0,Manual,1,Hyundai i20,2019.0,745000.0,18.6,1197.0,5.0,Chennai
88,Petrol,Hatchback,69864.0,Manual,1,Maruti Baleno,2017.0,619000.0,21.4,1197.0,5.0,Chennai
89,Petrol,Sedan,35739.0,Manual,1,Hyundai Xcent,2019.0,650000.0,20.14,1197.0,5.0,Chennai
90,Petrol,Hatchback,120000.0,Automatic,2,Honda Jazz,2016.0,500000.0,19.0,1199.0,5.0,Chennai
91,Diesel,MUV,18000.0,Manual,1,Maruti Ertiga,2019.0,1145000.0,24.52,1248.0,7.0,Chennai
92,Diesel,SUV,21000.0,Manual,1,Tata Harrier,2019.0,1600000.0,16.35,1949.5,5.0,Chennai
93,Petrol,Hatchback,70404.0,Manual,1,Maruti Baleno,2016.0,540000.0,21.4,1197.0,5.0,Chennai
94,Petrol,Sedan,63000.0,Manual,1,Volkswagen Vento,2015.0,675000.0,16.09,1598.0,5.0,Chennai
95,Petrol,Sedan,88000.0,Manual,2,Volkswagen Ameo,2017.0,509999.99999999994,17.0,1198.0,5.0,Chennai
96,Petrol,Sedan,65000.0,Manual,1,Honda City,2017.0,830000.0000000001,17.4,1497.0,5.0,Chennai
97,Diesel,SUV,30000.0,Automatic,2,Land Rover Discovery Sport,2017.0,1776500.0,12.51,1949.5,7.0,Chennai
98,Petrol,Sedan,71423.0,Automatic,1,Honda City,2012.0,509999.99999999994,15.6,1497.0,5.0,Chennai
99,Petrol,MUV,80000.0,Automatic,1,Maruti XL6,2019.0,1200000.0,17.99,1462.0,6.0,Chennai
100,Petrol,Sedan,85759.0,Manual,1,Honda City,2017.0,766000.0,17.8,1497.0,5.0,Chennai
101,Petrol,Hatchback,24422.0,Manual,1,Hyundai Santro,2019.0,449000.0,20.3,1086.0,5.0,Chennai
102,Petrol,Sedan,90000.0,Manual,4,Hyundai Verna,2017.0,750000.0,17.0,1591.0,5.0,Chennai
103,Petrol,Hatchback,67091.0,Manual,2,Honda Brio,2012.0,317000.0,19.4,1198.0,5.0,Chennai
104,Petrol,SUV,72787.0,Manual,1,MG Hector,2020.0,1560000.0,15.81,1451.0,5.0,Chennai
105,Diesel,SUV,120000.0,Manual,2,Ford Endeavour,2017.0,1776500.0,13.5,1949.5,7.0,Chennai
106,Petrol,Hatchback,90142.0,Manual,1,Hyundai Grand i10,2017.0,522000.0,18.9,1197.0,5.0,Chennai
107,Petrol,Hatchback,150000.0,Manual,1,Hyundai i20,2015.0,500000.0,18.6,1197.0,5.0,Chennai
108,Petrol,Hatchback,33256.0,Manual,1,Ford Freestyle,2018.0,627000.0,19.0,1194.0,5.0,Chennai
109,Petrol,Hatchback,70027.0,Automatic,1,Maruti Baleno,2018.0,687000.0,21.4,1197.0,5.0,Chennai
110,Diesel,Sedan,120000.0,Manual,3,Hyundai Sonata,2007.0,204999.99999999997,13.6,1949.5,5.0,Chennai
111,Petrol,Hatchback,60000.0,Manual,2,Volkswagen Polo,2015.0,525000.0,16.2,1199.0,5.0,Chennai
112,Diesel,Hatchback,73686.0,Manual,1,Maruti Swift,2017.0,620000.0,25.2,1248.0,5.0,Chennai
113,Diesel,SUV,44000.0,Manual,2,Mahindra TUV 300,2018.0,825000.0,18.49,1493.0,7.0,Chennai
114,Petrol,Hatchback,75581.0,Manual,1,Maruti Swift,2015.0,530000.0,21.21,1197.0,5.0,Chennai
115,Diesel,SUV,58000.0,Automatic,1,Mercedes-Benz M-Class,2015.0,1776500.0,15.26,1949.5,5.0,Chennai
116,Diesel,Sedan,50000.0,Automatic,2,Audi A3,2015.0,1776500.0,20.38,1949.5,5.0,Chennai
117,Diesel,SUV,100000.0,Manual,1,Mahindra TUV 300,2015.0,650000.0,18.49,1493.0,7.0,Chennai
118,Diesel,Sedan,108902.0,Manual,1,Maruti Ciaz,2017.0,650000.0,27.984999999999992,1248.0,5.0,Chennai
119,Diesel,Sedan,100425.0,Manual,1,Volkswagen Ameo,2016.0,570000.0,21.66,1498.0,5.0,Chennai
120,Petrol,Sedan,70887.0,Manual,2,Hyundai Xcent,2016.0,458000.0,19.1,1197.0,5.0,Chennai
121,Petrol,Sedan,114981.0,Manual,2,Honda City,2016.0,577000.0,17.8,1497.0,5.0,Chennai
122,Petrol,SUV,45000.0,Manual,1,Honda WR-V,2018.0,900000.0,17.5,1199.0,5.0,Chennai
123,Petrol,Hatchback,45416.0,Manual,1,Hyundai Grand i10 Nios,2021.0,649000.0,20.7,1197.0,5.0,Chennai
124,Petrol,Hatchback,119468.0,Manual,1,Hyundai i20,2016.0,549000.0,18.6,1197.0,5.0,Chennai
125,Diesel,Sedan,100000.0,Automatic,3,Volkswagen Vento,2015.0,650000.0,21.21,1498.0,5.0,Chennai
126,Petrol,Sedan,119975.0,Manual,1,Maruti Swift Dzire,2017.0,513999.99999999994,22.41,1197.0,5.0,Chennai
127,Petrol,Sedan,19000.0,Automatic,1,BMW 3 Series,2017.0,1776500.0,15.34,1949.5,5.0,Chennai
128,Petrol,Hatchback,64906.0,Manual,2,Hyundai Grand i10,2016.0,455999.99999999994,18.9,1197.0,5.0,Chennai
129,Petrol,Hatchback,81484.0,Manual,2,Maruti Baleno,2016.0,501999.99999999994,21.4,1197.0,5.0,Chennai
130,Petrol,Sedan,45067.0,Manual,1,Maruti Swift Dzire,2018.0,685000.0,21.21,1197.0,5.0,Chennai
131,Petrol,Sedan,68000.0,Automatic,1,Mercedes-Benz S-Class,2018.0,600000.0,10.425000000000006,1949.5,4.0,Chennai
132,Petrol,Hatchback,65768.0,Manual,1,Honda Jazz,2016.0,580000.0,18.7,1199.0,5.0,Chennai
133,Petrol,Hatchback,61000.0,Manual,2,Honda Jazz,2016.0,530000.0,18.7,1199.0,5.0,Chennai
134,Diesel,Sedan,50000.0,Automatic,3,Mercedes-Benz S-Class,2009.0,1700000.0,13.0,1949.5,5.0,Chennai
135,Diesel,Sedan,23000.0,Automatic,1,BMW 5 Series,2018.0,1776500.0,18.12,1949.5,5.0,Chennai
136,Diesel,Sedan,17000.0,Automatic,1,BMW 7 Series,2018.0,1776500.0,16.46,1949.5,5.0,Chennai
137,Petrol,Hatchback,102958.0,Automatic,1,Maruti Celerio,2017.0,420000.0,23.1,998.0,5.0,Chennai
138,Diesel,Sedan,62900.0,Manual,1,Toyota Corolla Altis,2013.0,775000.0,21.43,1364.0,5.0,Chennai
139,Petrol,Hatchback,65076.0,Manual,2,Maruti Wagon R,2015.0,395000.0,20.51,998.0,5.0,Chennai
140,Petrol,Hatchback,75876.0,Manual,1,Maruti Baleno,2016.0,533000.0,21.4,1197.0,5.0,Chennai
141,Petrol,Hatchback,98911.0,Manual,1,Hyundai i20,2015.0,547000.0,18.6,1197.0,5.0,Chennai
142,Petrol,Hatchback,45000.0,Manual,1,Maruti Celerio,2015.0,395000.0,23.1,998.0,5.0,Chennai
143,Diesel,Sedan,76089.0,Automatic,1,Hyundai Verna,2017.0,908000.0,19.08,1582.0,5.0,Chennai
144,Petrol,Hatchback,54505.0,Manual,2,Hyundai Grand i10,2017.0,521000.0,18.9,1197.0,5.0,Chennai
145,Diesel,Sedan,24000.0,Automatic,1,Audi A3,2019.0,1776500.0,20.38,1949.5,5.0,Chennai
146,Petrol,Sedan,96573.0,Manual,1,Maruti Swift Dzire,2016.0,507000.0,22.41,1197.0,5.0,Chennai
147,Diesel,SUV,30000.0,Automatic,1,Kia Seltos,2019.0,1625000.0,18.9,1493.0,5.0,Chennai
148,Petrol,Hatchback,63720.0,Manual,2,Hyundai Grand i10,2016.0,528000.0,18.9,1197.0,5.0,Chennai
149,Petrol,Hatchback,14411.0,Manual,1,Maruti Alto 800,2021.0,434999.99999999994,22.05,796.0,5.0,Chennai
150,Petrol,SUV,11000.0,Automatic,1,Volkswagen Taigun,2022.0,1490000.0,18.41,999.0,5.0,Chennai
151,Petrol,SUV,21000.0,Automatic,1,Skoda Kushaq,2022.0,1776500.0,18.86,1498.0,5.0,Chennai
152,Petrol,SUV,34392.0,Manual,1,Honda WR-V,2017.0,625000.0,17.5,1199.0,5.0,Chennai
153,Petrol,Hatchback,20000.0,Manual,1,Hyundai Grand i10 Nios,2022.0,690000.0,20.7,1197.0,5.0,Chennai
154,Petrol,SUV,10000.0,Manual,1,Kia Sonet,2022.0,1350000.0,18.2,998.0,5.0,Chennai
155,Petrol,SUV,20000.0,Automatic,1,MG Astor,2022.0,1550000.0,14.82,1498.0,5.0,Chennai
156,Petrol,Hatchback,47000.0,Automatic,1,Toyota Glanza,2019.0,790000.0,19.56,1197.0,5.0,Chennai
157,Petrol,Hatchback,60333.0,Manual,2,Maruti Alto K10,2014.0,270000.0,23.95,998.0,5.0,Chennai
158,Diesel,Hatchback,81058.0,Manual,1,Hyundai Grand i10,2014.0,365000.0,24.0,1186.0,5.0,Chennai
159,Petrol,Sedan,51800.0,Manual,2,Honda Civic,2010.0,425000.0,13.5,1799.0,5.0,Chennai
160,Petrol,Hatchback,32797.0,Manual,2,Hyundai Grand i10,2016.0,528000.0,18.9,1197.0,5.0,Chennai
161,Petrol,Hatchback,69731.0,Manual,1,Hyundai Grand i10,2016.0,511000.00000000006,18.9,1197.0,5.0,Chennai
162,Petrol,Sedan,54000.0,Manual,2,Honda City,2016.0,625000.0,17.8,1497.0,5.0,Chennai
163,Petrol,Hatchback,110267.0,Manual,2,Nissan Micra Active,2016.0,327000.0,19.49,1198.0,5.0,Chennai
164,Petrol,SUV,31767.0,Manual,1,Mahindra KUV 100,2018.0,505000.0,18.15,1198.0,6.0,Chennai
165,Petrol,SUV,45677.0,Manual,2,Honda WR-V,2018.0,640000.0,17.5,1199.0,5.0,Chennai
166,Petrol,Hatchback,66656.0,Manual,1,Maruti Celerio,2017.0,449000.0,25.24,998.0,5.0,Chennai
167,Diesel,Sedan,27000.0,Manual,1,Honda Amaze,2019.0,725000.0,24.7,1498.0,5.0,Chennai
168,Petrol,Hatchback,37004.0,Manual,1,Renault KWID,2021.0,495000.0,21.74,999.0,5.0,Chennai
169,Petrol,Hatchback,85274.0,Manual,2,Hyundai i10,2011.0,271000.0,20.36,1197.0,5.0,Chennai
170,Diesel,SUV,60000.0,Manual,2,Hyundai Creta,2017.0,940000.0,19.67,1582.0,5.0,Chennai
171,Petrol,Sedan,42000.0,Manual,1,Honda City,2017.0,799000.0,17.4,1497.0,5.0,Chennai
172,Diesel,SUV,20000.0,Manual,1,Hyundai Creta,2022.0,1776500.0,18.9,1493.0,5.0,Chennai
173,Diesel,MUV,30000.0,Automatic,1,Kia Carens,2022.0,1776500.0,18.9,1493.0,7.0,Chennai
174,Diesel,Sedan,25000.0,Automatic,1,Mercedes-Benz E-Class,2017.0,1776500.0,16.1,1949.5,5.0,Chennai
175,Diesel,SUV,80000.0,Manual,3,Mahindra XUV500,2014.0,700000.0,15.1,1949.5,7.0,Chennai
176,Petrol,Sedan,60000.0,Manual,2,Hyundai Verna,2015.0,585000.0,17.1,1591.0,5.0,Chennai
177,Diesel,SUV,20000.0,Manual,1,Tata Harrier,2022.0,1776500.0,16.35,1949.5,5.0,Chennai
178,Petrol,SUV,20000.0,Automatic,1,MG Hector,2022.0,1776500.0,18.9,1451.0,5.0,Chennai
179,Petrol,SUV,20000.0,Automatic,1,MG Hector,2022.0,1776500.0,18.9,1451.0,5.0,Chennai
180,Diesel,SUV,55037.0,Manual,2,Hyundai Creta,2020.0,1445000.0,18.9,1493.0,5.0,Chennai
181,Petrol,Hatchback,65607.0,Manual,1,Hyundai Santro,2018.0,451000.0,20.3,1086.0,5.0,Chennai
182,Cng,MUV,70000.0,Manual,1,Maruti Ertiga Tour,2021.0,1100000.0,18.9,1462.0,7.0,Chennai
183,Petrol,Hatchback,74777.0,Manual,1,Hyundai i20,2016.0,631000.0,18.6,1197.0,5.0,Chennai
184,Petrol,Sedan,102392.0,Manual,2,Toyota Etios,2012.0,411000.00000000006,17.6,1496.0,5.0,Chennai
185,Diesel,Sedan,90210.0,Manual,1,Skoda Rapid,2015.0,500000.0,21.14,1498.0,5.0,Chennai
186,Petrol,Sedan,62373.0,Manual,1,Maruti Swift Dzire,2014.0,488000.0,22.41,1197.0,5.0,Chennai
187,Diesel,Sedan,80000.0,Manual,1,Tata Zest,2015.0,459999.99999999994,22.95,1248.0,5.0,Chennai
188,Petrol,Hatchback,25219.0,Automatic,2,Maruti Celerio,2018.0,513999.99999999994,26.0,998.0,5.0,Chennai
189,Diesel,Hatchback,64409.0,Manual,3,Maruti Swift,2014.0,508000.0,25.2,1248.0,5.0,Chennai
190,Diesel,SUV,52000.0,Manual,1,Tata Nexon,2018.0,865000.0,21.5,1497.0,5.0,Chennai
191,Petrol,Sedan,30000.0,Automatic,2,Maruti Ciaz,2018.0,855000.0000000001,20.28,1462.0,5.0,Chennai
192,Diesel,Sedan,14000.0,Automatic,1,Mercedes-Benz S-Class,2020.0,600000.0,13.5,1949.5,5.0,Chennai
193,Diesel,SUV,48574.0,Manual,1,Hyundai Venue,2019.0,925000.0,23.7,1396.0,5.0,Chennai
194,Petrol,Sedan,71423.0,Automatic,1,Honda City,2012.0,509999.99999999994,16.8,1497.0,5.0,Chennai
195,Diesel,Sedan,30000.0,Automatic,1,Mercedes-Benz E-Class,2020.0,1776500.0,16.1,1949.5,5.0,Chennai
196,Petrol,Hatchback,75498.0,Manual,1,Maruti Wagon R,2013.0,350000.0,18.9,998.0,5.0,Chennai
197,Petrol,Sedan,95963.0,Manual,1,Honda City,2017.0,630000.0,17.8,1497.0,5.0,Chennai
198,Petrol,Hatchback,46613.0,Manual,1,Maruti Wagon R,2015.0,409999.99999999994,20.51,998.0,5.0,Chennai
199,Petrol,SUV,30000.0,Manual,1,Honda WR-V,2017.0,725000.0,17.5,1199.0,5.0,Chennai
200,Petrol,Sedan,18722.0,Manual,1,Honda Amaze,2015.0,466000.0,18.0,1198.0,5.0,Chennai
201,Petrol,SUV,5593.0,Automatic,1,Kia Seltos,2023.0,1776500.0,16.5,1353.0,5.0,Chennai
202,Diesel,SUV,40000.0,Automatic,1,Audi Q3,2017.0,1776500.0,15.73,1949.5,5.0,Chennai
203,Petrol,Hatchback,20875.0,Manual,1,Maruti Celerio,2021.0,503000.0,25.24,998.0,5.0,Chennai
204,Petrol,Hatchback,46436.0,Manual,2,Renault KWID,2018.0,309000.0,25.17,799.0,5.0,Chennai
205,Petrol,Sedan,127672.0,Automatic,1,Honda City,2016.0,640000.0,18.0,1497.0,5.0,Chennai
206,Petrol,SUV,12814.0,Manual,1,Hyundai Venue,2021.0,841000.0,17.52,1197.0,5.0,Chennai
207,Diesel,SUV,26000.0,Manual,1,Tata New Safari,2022.0,1776500.0,16.14,1949.5,7.0,Chennai
208,Petrol,Hatchback,45851.0,Manual,1,Hyundai i10,2011.0,288000.0,20.36,1197.0,5.0,Chennai
209,Petrol,SUV,36349.0,Manual,1,Hyundai Venue,2021.0,940000.0,18.0,998.0,5.0,Chennai
210,Petrol,Hatchback,35000.0,Automatic,1,Volkswagen Polo,2018.0,844999.9999999999,17.21,1197.0,5.0,Chennai
211,Diesel,SUV,17059.0,Automatic,1,Tata New Safari,2021.0,1776500.0,14.08,1949.5,7.0,Chennai
212,Diesel,SUV,37000.0,Automatic,1,BMW X5,2019.0,1776500.0,13.38,1949.5,5.0,Chennai
213,Petrol,Hatchback,48163.0,Manual,2,Maruti Wagon R,2016.0,400000.0,20.51,998.0,5.0,Chennai
214,Petrol,Sedan,40000.0,Manual,3,Maruti Swift Dzire,2013.0,425000.0,19.1,1197.0,5.0,Chennai
215,Diesel,Sedan,150000.0,Manual,2,Tata Indigo,2008.0,200000.0,17.0,1405.0,5.0,Chennai
216,Petrol,Hatchback,20000.0,Manual,1,Volkswagen Polo,2020.0,750000.0,17.74,999.0,5.0,Chennai
217,Diesel,SUV,47000.0,Automatic,1,Hyundai Creta,2019.0,1689999.9999999998,17.6,1582.0,5.0,Chennai
218,Petrol,Hatchback,112711.0,Manual,1,Hyundai i10,2013.0,310000.0,20.36,1197.0,5.0,Chennai
219,Diesel,SUV,53000.0,Automatic,1,Toyota Fortuner,2020.0,1776500.0,15.04,1949.5,7.0,Chennai
220,Petrol,Hatchback,65895.0,Automatic,2,Maruti Celerio,2016.0,437000.0,26.68,998.0,5.0,Chennai
221,Petrol,SUV,15625.0,Automatic,1,Mahindra XUV300,2022.0,1026000.0,17.0,1197.0,5.0,Chennai
222,Diesel,Hatchback,107595.0,Manual,1,Maruti Swift,2015.0,560000.0,25.2,1248.0,5.0,Chennai
223,Petrol,Hatchback,23838.0,Manual,1,Maruti Ignis,2017.0,532000.0,20.89,1197.0,5.0,Chennai
224,Petrol,Hatchback,28975.0,Manual,1,Maruti Alto K10,2015.0,323000.0,24.39,998.0,5.0,Chennai
225,Petrol,SUV,30742.0,Manual,1,Honda WR-V,2018.0,770000.0,17.5,1199.0,5.0,Chennai
226,Petrol,Hatchback,10363.0,Manual,1,Maruti S-Presso,2022.0,492000.0,21.7,998.0,5.0,Chennai
227,Petrol,Sedan,100000.0,Manual,1,Honda City,2015.0,650000.0,17.4,1497.0,5.0,Chennai
228,Petrol,Sedan,75555.0,Manual,1,Honda City,2016.0,633000.0,17.8,1497.0,5.0,Chennai
